INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('1', '2021', 'E1', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('28', '2021', 'E45', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('29', '2021', 'E47', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('30', '2021', 'E48', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('31', '2021', 'E49', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('32', '2021', 'E59', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('33', '2021', 'E60', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('34', '2021', 'E63', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('35', '2021', 'E64', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('36', '2021', 'E65', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('37', '2021', 'E68', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('38', '2021', 'E72', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('39', '2021', 'E74', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('40', '2021', 'E75', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('41', '2021', 'E76', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('42', '2021', 'E77', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('43', '2021', 'E78', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('44', '2021', 'E84', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('45', '2021', 'E85', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('46', '2021', 'E86', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('47', '2021', 'E87', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('48', '2021', 'E89', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('49', '2021', 'E96', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('50', '2021', 'E97', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('51', '2021', 'E100', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('52', '2021', 'E101', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('53', '2021', 'E102', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('54', '2021', 'E103', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('55', '2021', 'E105', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('56', '2021', 'E106', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('57', '2021', 'E109', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('58', '2021', 'E111', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('59', '2021', 'E112', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('60', '2021', 'E114', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('61', '2021', 'E115', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('62', '2021', 'E117', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('63', '2021', 'E120', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('64', '2021', 'E123', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('65', '2021', 'E125', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('66', '2021', 'E126', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('67', '2021', 'E128', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('68', '2021', 'E129', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('69', '2021', 'E130', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('70', '2021', 'E131', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('71', '2021', 'E132', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('72', '2021', 'E133', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('73', '2021', 'E136', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('74', '2021', 'E137', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('75', '2021', 'E138', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('76', '2021', 'E139', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('77', '2021', 'E143', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('78', '2021', 'E145', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('79', '2021', 'E146', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('80', '2021', 'E147', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('81', '2021', 'E148', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('82', '2021', 'E152', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('83', '2021', 'E153', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('84', '2021', 'E155', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('85', '2021', 'E156', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('86', '2021', 'E157', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('87', '2021', 'E158', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('88', '2021', 'E160', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('89', '2021', 'E162', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('90', '2021', 'E163', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('91', '2021', 'E164', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('92', '2021', 'E166', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('93', '2021', 'E167', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('94', '2021', 'E169', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('95', '2021', 'E170', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('96', '2021', 'E172', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('97', '2021', 'E174', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('98', '2021', 'E175', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('99', '2021', 'E176', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('100', '2021', 'E178', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('101', '2021', 'E179', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('102', '2021', 'E180', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('103', '2021', 'E182', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('104', '2021', 'E183', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('105', '2021', 'E185', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('106', '2021', 'E188', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('107', '2021', 'E189', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('108', '2021', 'E190', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('109', '2021', 'E191', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('110', '2021', 'E192', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('111', '2021', 'E193', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('112', '2021', 'E195', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('113', '2021', 'E196', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('114', '2021', 'E197', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('115', '2021', 'E198', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('116', '2021', 'E199', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('117', '2021', 'E200', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('118', '2021', 'E201', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('119', '2021', 'E204', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('120', '2021', 'E206', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('121', '2021', 'E207', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('122', '2021', 'E208', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('123', '2021', 'E209', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('124', '2021', 'E210', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('125', '2021', 'E211', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('126', '2021', 'E212', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('127', '2021', 'E214', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('128', '2021', 'E215', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('129', '2021', 'E216', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('130', '2021', 'E217', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('131', '2021', 'E219', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('132', '2021', 'E221', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('133', '2021', 'E224', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('134', '2021', 'E225', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('135', '2021', 'E226', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('136', '2021', 'E227', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('137', '2021', 'E228', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('138', '2021', 'E230', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('139', '2021', 'E232', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('140', '2021', 'E234', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('141', '2021', 'E235', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('142', '2021', 'E237', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('143', '2021', 'E238', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('144', '2021', 'E239', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('145', '2021', 'E240', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('146', '2021', 'E241', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('147', '2021', 'E242', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('148', '2021', 'E244', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('149', '2021', 'E245', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('150', '2021', 'E248', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('151', '2021', 'E249', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('152', '2020', 'E1', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('153', '2020', 'E2', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('154', '2020', 'E4', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('155', '2020', 'E5', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('156', '2020', 'E10', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('157', '2020', 'E11', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('158', '2020', 'E16', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('159', '2020', 'E19', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('160', '2020', 'E21', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('161', '2020', 'E22', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('162', '2020', 'E23', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('163', '2020', 'E26', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('164', '2020', 'E27', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('165', '2020', 'E28', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('166', '2020', 'E30', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('167', '2020', 'E31', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('168', '2020', 'E33', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('169', '2020', 'E36', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('170', '2020', 'E37', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('171', '2020', 'E38', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('172', '2020', 'E39', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('173', '2020', 'E42', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('174', '2020', 'E43', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('175', '2020', 'E44', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('176', '2020', 'E45', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('177', '2020', 'E48', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('178', '2020', 'E49', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('179', '2020', 'E52', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('180', '2020', 'E56', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('181', '2020', 'E59', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('182', '2020', 'E60', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('183', '2020', 'E62', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('184', '2020', 'E63', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('185', '2020', 'E64', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('186', '2020', 'E72', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('187', '2020', 'E74', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('188', '2020', 'E75', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('189', '2020', 'E76', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('190', '2020', 'E77', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('191', '2020', 'E84', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('192', '2020', 'E85', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('193', '2020', 'E87', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('194', '2020', 'E89', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('195', '2020', 'E90', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('196', '2020', 'E94', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('197', '2020', 'E97', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('198', '2020', 'E100', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('199', '2020', 'E101', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('200', '2020', 'E103', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('201', '2020', 'E105', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('202', '2020', 'E109', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('203', '2020', 'E112', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('204', '2020', 'E113', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('205', '2020', 'E120', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('206', '2020', 'E123', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('207', '2020', 'E125', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('208', '2020', 'E126', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('209', '2020', 'E128', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('210', '2020', 'E129', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('211', '2020', 'E130', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('212', '2020', 'E131', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('213', '2020', 'E132', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('214', '2020', 'E133', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('215', '2020', 'E136', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('216', '2020', 'E137', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('217', '2020', 'E138', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('218', '2020', 'E140', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('219', '2020', 'E141', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('220', '2020', 'E142', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('221', '2020', 'E143', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('222', '2020', 'E144', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('223', '2020', 'E145', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('224', '2020', 'E150', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('225', '2020', 'E152', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('226', '2020', 'E154', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('227', '2020', 'E155', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('228', '2020', 'E157', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('229', '2020', 'E158', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('230', '2020', 'E160', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('231', '2020', 'E162', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('232', '2020', 'E163', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('233', '2020', 'E164', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('234', '2020', 'E166', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('235', '2020', 'E167', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('236', '2020', 'E169', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('237', '2020', 'E171', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('238', '2020', 'E172', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('239', '2020', 'E176', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('240', '2020', 'E177', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('241', '2020', 'E178', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('242', '2020', 'E179', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('243', '2020', 'E180', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('244', '2020', 'E183', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('245', '2020', 'E185', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('246', '2020', 'E188', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('247', '2020', 'E189', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('248', '2020', 'E190', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('249', '2020', 'E191', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('250', '2020', 'E192', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('251', '2020', 'E193', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('252', '2020', 'E196', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('253', '2020', 'E197', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('254', '2020', 'E199', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('255', '2020', 'E201', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('256', '2020', 'E202', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('257', '2020', 'E207', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('258', '2020', 'E211', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('259', '2020', 'E212', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('260', '2020', 'E214', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('261', '2020', 'E215', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('262', '2020', 'E217', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('263', '2020', 'E218', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('264', '2020', 'E221', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('265', '2020', 'E222', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('266', '2020', 'E224', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('267', '2020', 'E225', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('268', '2020', 'E226', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('269', '2020', 'E227', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('270', '2020', 'E228', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('271', '2020', 'E230', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('272', '2020', 'E232', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('273', '2020', 'E233', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('274', '2020', 'E234', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('275', '2020', 'E237', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('276', '2020', 'E238', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('277', '2020', 'E240', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('278', '2020', 'E242', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('279', '2020', 'E245', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('280', '2020', 'E248', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('281', '2020', 'E250', '3');
