INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('1', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E74', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('18', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'E46', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('19', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E135', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('20', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'E109', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('21', 'Yes', 'No', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'E219', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('22', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'No', 'No', 'E193', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('23', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'E120', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('24', 'No', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'E20', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('25', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'E9', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('26', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'E150', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('27', 'Yes', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'E17', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('28', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'E124', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('29', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'E244', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('30', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'E97', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('31', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E122', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('32', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E44', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('33', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'E197', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('34', 'No', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'Yes', 'E67', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('35', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E171', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('36', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'E216', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('37', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'E206', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('38', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'E210', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('39', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'E29', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('40', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'E73', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('41', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E83', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('42', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'E200', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('43', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'No', 'E101', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('44', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'E76', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('45', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'E52', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('46', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E41', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('47', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'E149', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('48', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'E248', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('49', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'No', 'No', 'E94', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('50', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'E110', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('51', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No', 'No', 'E160', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('52', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'E120', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('53', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'E191', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('54', 'No', 'No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'E190', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('55', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'E69', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('56', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'E137', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('57', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'No', 'E75', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('58', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E64', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('59', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', 'E214', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('60', 'No', 'Yes', 'No', 'No', 'No', 'No', 'Yes', 'No', 'E39', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('61', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'E228', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('62', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'E33', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('63', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'Yes', 'E58', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('64', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E129', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('65', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'E64', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('66', 'No', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E6', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('67', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'E128', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('68', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'E4', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('69', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'E188', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('70', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'E168', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('71', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'E171', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('72', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'E139', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('73', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'E17', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('74', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'No', 'E134', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('75', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'No', 'E34', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('76', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'Yes', 'E187', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('77', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'E177', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('78', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'E133', '2021');
